year,state,county_name,fips_code,rep_num,dem_num,county_num,vap,dem_margin,turnout,state_electoral_votes
2008,AL,Tuscaloosa,01125,45405.0,32796.0,78912,134435,-0.15978558394160583,0.5869899951649497,9
2008,AL,Walker,01127,20722.0,7420.0,28652,52740,-0.46426078458746334,0.5432688661357603,9
2008,AL,Washington,01129,5654.0,3067.0,8775,12910,-0.2948148148148148,0.679705654531371,9
2008,AL,Wilcox,01131,1868.0,4612.0,6494,8860,0.4225438866646135,0.7329571106094808,9
2008,AL,Winston,01133,8103.0,1757.0,10031,18415,-0.6326388196590569,0.5447189790931306,9
2004,AK,District 13,02013,10702.0,4819.0,16012,1025,-0.3674119410442168,1.0,3
2004,AK,District 16,02016,10587.0,4791.0,15840,3110,-0.3659090909090909,1.0,3
2004,AK,District 20,02020,6632.0,4465.0,11480,197305,-0.1887630662020906,0.05818402980157624,3
2004,AK,Alaska,02,190889.0,111025.0,312598,550189,-0.25548468000435065,0.5681647579286391,3
2008,AK,District 13,02013,8432.0,2800.0,11526,1025,-0.48863439180982127,1.0,3
2008,AK,District 16,02016,7774.0,2636.0,10697,3110,-0.48032158549125925,1.0,3
2008,AK,District 20,02020,2536.0,2474.0,5138,197305,-0.012066952121448035,0.026040901142900585,3
2008,AK,Alaska,02,193841.0,123594.0,326197,550189,-0.21535145939416978,0.5928817188275302,3
2004,AZ,Apache,04001,8384.0,15658.0,24198,45785,0.3006033556492272,0.5285137053620181,10
2004,AZ,Cochise,04003,26556.0,17514.0,44483,88980,-0.20326866443360384,0.499921330636098,10
2004,AZ,Coconino,04005,22526.0,29243.0,52267,89285,0.12851321101268487,0.5853950831606652,10
2004,AZ,Gila,04007,12343.0,8314.0,20843,38810,-0.19330230772921364,0.5370523061066735,10
2004,AZ,Graham,04009,7467.0,3185.0,10720,24240,-0.3994402985074627,0.44224422442244227,10
2004,AZ,Greenlee,04011,1899.0,1146.0,3067,5170,-0.24551679165308118,0.5932301740812379,10
2004,AZ,La Paz,04012,3158.0,1849.0,5055,14625,-0.2589515331355094,0.34564102564102567,10
2004,AZ,Maricopa,04013,679455.0,504849.0,1192751,2394365,-0.1463893134442981,0.4981491961334216,10
2004,AZ,Mohave,04015,36794.0,20503.0,57807,144250,-0.28181708097635233,0.4007417677642981,10
2004,AZ,Navajo,04017,17277.0,14815.0,32343,73975,-0.07612157190118418,0.43721527543088884,10
2004,AZ,Pima,04019,171109.0,193128.0,366907,684300,0.06001248272723061,0.5361785766476691,10
2004,AZ,Pinal,04021,37006.0,27252.0,64622,199585,-0.15093930859459626,0.3237818473332164,10
2004,AZ,Santa Cruz,04023,4668.0,6909.0,11668,21360,0.192063764141241,0.5462546816479401,10
2004,AZ,Yavapai,04025,53468.0,33127.0,87389,159360,-0.23276384899701336,0.5483747489959839,10
2004,AZ,Yuma,04027,22184.0,16032.0,38465,103450,-0.1599376056154946,0.37182213629772837,10
2008,AZ,Apache,04001,8551.0,15390.0,24262,45785,0.28188113098672823,0.5299115430817953,10
