geoid,geoname,year,cvap_est
05000US28011,"Bolivar County, Mississippi",2004,27316.0
05000US29017,"Bollinger County, Missouri",2004,9156.0
05000US46009,"Bon Homme County, South Dakota",2004,5604.0
05000US17005,"Bond County, Illinois",2004,14141.0
05000US16017,"Bonner County, Idaho",2004,29856.0
05000US16019,"Bonneville County, Idaho",2004,61355.0
05000US05009,"Boone County, Arkansas",2004,27558.0
05000US17007,"Boone County, Illinois",2004,33473.0
05000US18011,"Boone County, Indiana",2004,35300.0
05000US19015,"Boone County, Iowa",2004,19765.0
05000US21015,"Boone County, Kentucky",2004,74731.0
05000US29019,"Boone County, Missouri",2004,111199.0
05000US31011,"Boone County, Nebraska",2004,4265.0
05000US54005,"Boone County, West Virginia",2004,19942.0
05000US48033,"Borden County, Texas",2004,439.0
05000US48035,"Bosque County, Texas",2004,12963.0
05000US22015,"Bossier Parish, Louisiana",2004,76174.0
05000US51023,"Botetourt County, Virginia",2004,24821.0
05000US38009,"Bottineau County, North Dakota",2004,5159.0
05000US08013,"Boulder County, Colorado",2004,197020.0
05000US16021,"Boundary County, Idaho",2004,7411.0
05000US20011,"Bourbon County, Kansas",2004,11294.0
05000US21017,"Bourbon County, Kentucky",2004,14360.0
05000US48037,"Bowie County, Texas",2004,66784.0
05000US38011,"Bowman County, North Dakota",2004,2422.0
05000US31013,"Box Butte County, Nebraska",2004,8463.0
05000US49003,"Box Elder County, Utah",2004,29096.0
05000US21019,"Boyd County, Kentucky",2004,38797.0
05000US31015,"Boyd County, Nebraska",2004,1732.0
05000US21021,"Boyle County, Kentucky",2004,20912.0
05000US21023,"Bracken County, Kentucky",2004,6353.0
05000US12007,"Bradford County, Florida",2004,23200.0
05000US42015,"Bradford County, Pennsylvania",2004,47658.0
05000US05011,"Bradley County, Arkansas",2004,8875.0
05000US47011,"Bradley County, Tennessee",2004,69459.0
05000US26023,"Branch County, Michigan",2004,34758.0
05000US13025,"Brantley County, Georgia",2004,11935.0
05000US54007,"Braxton County, West Virginia",2004,11590.0
05000US48039,"Brazoria County, Texas",2004,178435.0
05000US48041,"Brazos County, Texas",2004,115251.0
05000US21025,"Breathitt County, Kentucky",2004,11636.0
05000US21027,"Breckinridge County, Kentucky",2004,14535.0
05000US19017,"Bremer County, Iowa",2004,18044.0
05000US12009,"Brevard County, Florida",2004,390287.0
05000US48043,"Brewster County, Texas",2004,6998.0
05000US48045,"Briscoe County, Texas",2004,1157.0
05000US02060,"Bristol Bay Borough, Alaska",2004,597.0
05000US25005,"Bristol County, Massachusetts",2004,386974.0
05000US44001,"Bristol County, Rhode Island",2004,38118.0
05000US51520,"Bristol city, Virginia",2004,14330.0
05000US30007,"Broadwater County, Montana",2004,3393.0
05000US36005,"Bronx County, New York",2004,727929.0
05000US54009,"Brooke County, West Virginia",2004,19944.0
05000US46011,"Brookings County, South Dakota",2004,23501.0
05000US13027,"Brooks County, Georgia",2004,12067.0
05000US48047,"Brooks County, Texas",2004,5177.0
05000US36007,"Broome County, New York",2004,154868.0
05000US08014,"Broomfield County, Colorado",2004,31843.0
05000US12011,"Broward County, Florida",2004,1024975.0
05000US17009,"Brown County, Illinois",2004,5595.0
05000US18013,"Brown County, Indiana",2004,11717.0
05000US20013,"Brown County, Kansas",2004,7533.0
05000US27015,"Brown County, Minnesota",2004,20146.0
05000US31017,"Brown County, Nebraska",2004,2515.0
05000US39015,"Brown County, Ohio",2004,33264.0
05000US46013,"Brown County, South Dakota",2004,26663.0
05000US48049,"Brown County, Texas",2004,27954.0
05000US55009,"Brown County, Wisconsin",2004,170823.0
05000US46015,"Brule County, South Dakota",2004,3667.0
05000US37019,"Brunswick County, North Carolina",2004,67771.0
05000US51025,"Brunswick County, Virginia",2004,14585.0
05000US13029,"Bryan County, Georgia",2004,18497.0
05000US40013,"Bryan County, Oklahoma",2004,28785.0
05000US19019,"Buchanan County, Iowa",2004,15167.0
05000US29021,"Buchanan County, Missouri",2004,66627.0
05000US51027,"Buchanan County, Virginia",2004,20183.0
05000US51029,"Buckingham County, Virginia",2004,14279.0
05000US42017,"Bucks County, Pennsylvania",2004,451619.0
05000US19021,"Buena Vista County, Iowa",2004,13351.0
05000US51530,"Buena Vista city, Virginia",2004,5224.0
05000US31019,"Buffalo County, Nebraska",2004,32059.0
05000US46017,"Buffalo County, South Dakota",2004,1172.0
05000US55011,"Buffalo County, Wisconsin",2004,10625.0
05000US21029,"Bullitt County, Kentucky",2004,51207.0
05000US13031,"Bulloch County, Georgia",2004,49027.0
05000US01011,"Bullock County, Alabama",2004,8208.0
05000US37021,"Buncombe County, North Carolina",2004,164891.0
05000US17011,"Bureau County, Illinois",2004,26468.0
05000US13033,"Burke County, Georgia",2004,16197.0
05000US37023,"Burke County, North Carolina",2004,65240.0
05000US38013,"Burke County, North Dakota",2004,1601.0
05000US38015,"Burleigh County, North Dakota",2004,55465.0
05000US48051,"Burleson County, Texas",2004,11386.0
05000US34005,"Burlington County, New Jersey",2004,320417.0
05000US48053,"Burnet County, Texas",2004,28875.0
05000US55013,"Burnett County, Wisconsin",2004,12694.0
05000US31021,"Burt County, Nebraska",2004,5529.0
05000US01013,"Butler County, Alabama",2004,15599.0
05000US19023,"Butler County, Iowa",2004,11355.0
05000US20015,"Butler County, Kansas",2004,45653.0
05000US21031,"Butler County, Kentucky",2004,9849.0
05000US29023,"Butler County, Missouri",2004,31841.0
05000US31023,"Butler County, Nebraska",2004,6360.0
05000US39017,"Butler County, Ohio",2004,255102.0
05000US42019,"Butler County, Pennsylvania",2004,136652.0
05000US06007,"Butte County, California",2004,158790.0
05000US16023,"Butte County, Idaho",2004,2122.0
05000US46019,"Butte County, South Dakota",2004,7104.0
05000US13035,"Butts County, Georgia",2004,17492.0
05000US37025,"Cabarrus County, North Carolina",2004,102623.0
05000US54011,"Cabell County, West Virginia",2004,76056.0
05000US72023,"Cabo Rojo Municipio, Puerto Rico",2004,38948.0
05000US49005,"Cache County, Utah",2004,66029.0
05000US40015,"Caddo County, Oklahoma",2004,21495.0
05000US22017,"Caddo Parish, Louisiana",2004,189927.0
05000US72025,"Caguas Municipio, Puerto Rico",2004,107699.0
05000US06009,"Calaveras County, California",2004,35847.0
05000US22019,"Calcasieu Parish, Louisiana",2004,133559.0
05000US21033,"Caldwell County, Kentucky",2004,10153.0
05000US29025,"Caldwell County, Missouri",2004,6955.0
05000US37027,"Caldwell County, North Carolina",2004,60770.0
05000US48055,"Caldwell County, Texas",2004,24954.0
05000US22021,"Caldwell Parish, Louisiana",2004,7874.0
05000US50005,"Caledonia County, Vermont",2004,23891.0
05000US01015,"Calhoun County, Alabama",2004,87488.0
05000US05013,"Calhoun County, Arkansas",2004,4264.0
05000US12013,"Calhoun County, Florida",2004,10722.0
05000US13037,"Calhoun County, Georgia",2004,4766.0
05000US17013,"Calhoun County, Illinois",2004,3995.0
05000US19025,"Calhoun County, Iowa",2004,7953.0
05000US26025,"Calhoun County, Michigan",2004,100628.0
05000US28013,"Calhoun County, Mississippi",2004,10898.0
05000US45017,"Calhoun County, South Carolina",2004,11472.0
05000US48057,"Calhoun County, Texas",2004,13947.0
05000US54013,"Calhoun County, West Virginia",2004,6062.0
05000US48059,"Callahan County, Texas",2004,9878.0
05000US29027,"Callaway County, Missouri",2004,32350.0
05000US21035,"Calloway County, Kentucky",2004,28582.0
05000US55015,"Calumet County, Wisconsin",2004,32123.0
05000US24009,"Calvert County, Maryland",2004,60899.0
05000US16025,"Camas County, Idaho",2004,863.0
05000US42021,"Cambria County, Pennsylvania",2004,119321.0
05000US13039,"Camden County, Georgia",2004,33207.0
05000US29029,"Camden County, Missouri",2004,32479.0
05000US34007,"Camden County, New Jersey",2004,361386.0
05000US37029,"Camden County, North Carolina",2004,6496.0
05000US42023,"Cameron County, Pennsylvania",2004,4278.0
05000US48061,"Cameron County, Texas",2004,186168.0
05000US22023,"Cameron Parish, Louisiana",2004,5532.0
05000US48063,"Camp County, Texas",2004,7562.0
05000US21037,"Campbell County, Kentucky",2004,65243.0
05000US46021,"Campbell County, South Dakota",2004,1111.0
05000US47013,"Campbell County, Tennessee",2004,31513.0
05000US51031,"Campbell County, Virginia",2004,40646.0
05000US56005,"Campbell County, Wyoming",2004,28561.0
05000US72027,"Camuy Municipio, Puerto Rico",2004,27594.0
05000US40017,"Canadian County, Oklahoma",2004,67727.0
05000US13043,"Candler County, Georgia",2004,7354.0
05000US47015,"Cannon County, Tennessee",2004,10295.0
05000US16027,"Canyon County, Idaho",2004,100396.0
05000US72029,"Can�vanas Municipio, Puerto Rico",2004,32714.0
05000US29031,"Cape Girardeau County, Missouri",2004,55473.0
05000US34009,"Cape May County, New Jersey",2004,77438.0
05000US30009,"Carbon County, Montana",2004,7286.0
05000US42025,"Carbon County, Pennsylvania",2004,49825.0
05000US49007,"Carbon County, Utah",2004,14851.0
05000US56007,"Carbon County, Wyoming",2004,12106.0
05000US16029,"Caribou County, Idaho",2004,4797.0
05000US21039,"Carlisle County, Kentucky",2004,4108.0
05000US27017,"Carlton County, Minnesota",2004,25856.0
05000US72031,"Carolina Municipio, Puerto Rico",2004,138000.0
05000US24011,"Caroline County, Maryland",2004,23205.0
05000US51033,"Caroline County, Virginia",2004,19785.0
05000US05015,"Carroll County, Arkansas",2004,19775.0
05000US13045,"Carroll County, Georgia",2004,74711.0
05000US17015,"Carroll County, Illinois",2004,12616.0
05000US18015,"Carroll County, Indiana",2004,14613.0
05000US19027,"Carroll County, Iowa",2004,15783.0
05000US21041,"Carroll County, Kentucky",2004,7704.0
05000US24013,"Carroll County, Maryland",2004,120590.0
05000US28015,"Carroll County, Mississippi",2004,8307.0
05000US29033,"Carroll County, Missouri",2004,7401.0
05000US33003,"Carroll County, New Hampshire",2004,37215.0
05000US39019,"Carroll County, Ohio",2004,22431.0
05000US47017,"Carroll County, Tennessee",2004,22257.0
05000US51035,"Carroll County, Virginia",2004,23212.0
05000US32510,"Carson City, Nevada",2004,38927.0
05000US48065,"Carson County, Texas",2004,4664.0
05000US21043,"Carter County, Kentucky",2004,21097.0
05000US29035,"Carter County, Missouri",2004,4540.0
05000US30011,"Carter County, Montana",2004,1046.0
05000US40019,"Carter County, Oklahoma",2004,33947.0
05000US47019,"Carter County, Tennessee",2004,46468.0
05000US37031,"Carteret County, North Carolina",2004,49032.0
05000US27019,"Carver County, Minnesota",2004,54463.0
05000US30013,"Cascade County, Montana",2004,61257.0
05000US21045,"Casey County, Kentucky",2004,11969.0
05000US17017,"Cass County, Illinois",2004,9545.0
05000US18017,"Cass County, Indiana",2004,27273.0
05000US19029,"Cass County, Iowa",2004,11000.0
